Thu, 24 Oct 2013 10:15:03 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/beruf-chance/
Thu, 24 Oct 2013 10:15:08 CEST: class RSSThread, method run, Override interval with 5 minutes for Feuilleton - FAZ.NET
Thu, 24 Oct 2013 10:15:08 CEST: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition_entertainment.rss
Thu, 24 Oct 2013 10:15:18 CEST: class RSSThread, method run, Override interval with 5 minutes for Beruf & Chance - FAZ.NET
Thu, 24 Oct 2013 10:15:18 CEST: class RSSThread, method run, First visit: http://www.spiegel.de/netzwelt/index.rss
Thu, 24 Oct 2013 10:15:28 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/politik/
Thu, 24 Oct 2013 10:16:38 CEST: class RSSThread, method run, Override interval with 5 minutes for Politik - FAZ.NET
Thu, 24 Oct 2013 10:16:38 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/sport/index
Thu, 24 Oct 2013 10:16:52 CEST: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition_business.rss
Thu, 24 Oct 2013 10:17:02 CEST: class RSSThread, method run, Override interval with 10 minutes for CNN.com - Entertainment
Thu, 24 Oct 2013 10:17:02 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/wissen/
Thu, 24 Oct 2013 10:17:08 CEST: class RSSThread, method run, Override interval with 5 minutes for Wissen - FAZ.NET
Thu, 24 Oct 2013 10:17:08 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/digital/index
Thu, 24 Oct 2013 10:17:15 CEST: class RSSThread, method run, First visit: http://www.main-netz.de/rss/politik.xml
Thu, 24 Oct 2013 10:17:26 CEST: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition.rss
Thu, 24 Oct 2013 10:17:50 CEST: class RSSThread, method run, Override interval with 10 minutes for CNN.com - Business
Thu, 24 Oct 2013 10:17:50 CEST: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition_space.rss
Thu, 24 Oct 2013 10:17:55 CEST: class RSSThread, method run, Override interval with 10 minutes for CNN.com - Science and Space
Thu, 24 Oct 2013 10:17:55 CEST: class RSSThread, method run, First visit: http://feeds.washingtonpost.com/rss/sports
Thu, 24 Oct 2013 10:18:02 CEST: class RSSThread, method update, Start to read new subscriptions
Thu, 24 Oct 2013 10:18:02 CEST: class RSSThread, method update, Finish to read new subscriptions
Thu, 24 Oct 2013 10:18:02 CEST: class RSSThread, method update, Start to read new sources
Thu, 24 Oct 2013 10:18:02 CEST: class RSSThread, method update, Finish to read new sources
Thu, 24 Oct 2013 10:18:02 CEST: class RSSThread, method run, RSS Server started!
Thu, 24 Oct 2013 10:18:02 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/finanzen/
Thu, 24 Oct 2013 10:18:07 CEST: class RSSThread, method run, Override interval with 5 minutes for Finanzen - FAZ.NET
Thu, 24 Oct 2013 10:18:07 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/gesellschaft/index
Thu, 24 Oct 2013 10:18:09 CEST: class RSSThread, method run, Override interval with 5 minutes for Sports: Sports News, Scores, Analysis, Schedules & More - The Washington Post
Thu, 24 Oct 2013 10:18:09 CEST: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition_sport.rss
Thu, 24 Oct 2013 10:18:12 CEST: class RSSParser, method genItem, Invalid time format: null
Thu, 24 Oct 2013 10:18:15 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/sport/
Thu, 24 Oct 2013 10:18:34 CEST: class RSSThread, method run, Override interval with 5 minutes for Sport - FAZ.NET
Thu, 24 Oct 2013 10:18:34 CEST: class RSSThread, method run, First visit: http://www.spiegel.de/sport/index.rss
